name,courses
Hugh Turner,BMGT110
Jeff Miller,BMGT110
Cody Hyman,BMGT220
Laurel Mazur,BMGT220 BMGT221
Progyan Basu,BMGT220
Viktoriya Zotova,BMGT220
Gary Bulmash,BMGT221
Gerald Ward,BMGT221
Ai Ren,BMGT230
Daehoon Noh,BMGT230
Erich Studer-Ellis,BMGT230
Huan Cao,BMGT230
Radu Lazar,BMGT230
Shubham Akshat,BMGT230
Ziwei Cao,BMGT230
Anand Anandalingam,BMGT110
Howard Frank,BMGT110
Colin Linsley,BMGT220
Heedong Kim,BMGT220
Stephen Brown,BMGT220
Gregory Pfeiffer,BMGT221
Richard Costantino,BMGT221
Kazim Ruhi,BMGT230
Liyi Gu,BMGT230
Debdatta Sinha Roy,BMGT230
Wenchang Zhang,BMGT230
